yy,admin2,latitude,longitude,num_events,total_fatalities,event_type
2019,Tartous,34.8866,35.8934,1,0,All
2019,An Nabk,34.0976428571429,36.7090142857143,7,5,All
2019,Yabroud,33.9683,36.6594,2,1,All
2019,Al Qusayr,34.5842,36.4537,3,2,All
2019,Az Zabdani,33.6407666666667,36.106,3,6,All
2019,Al Qutayfah,33.8442,36.5457,1,0,All
2019,Tall Kalakh,34.6694,36.2585,1,1,All
2019,Al Makhrim,34.7694,37.5585,1,4,All
2019,Safita,34.8669,36.1346,1,0,All
2019,As Safira,36.0802,37.3755,1,1,All
2018,Jebel Saman,36.1282997545008,37.0408060556464,1222,1069,All
2018,Al Haffa,35.733753125,36.1840397321429,224,180,All
2018,At Tall,33.6641211267606,36.3282887323944,142,755,All
2018,As Suqaylabiyah,35.5235174321504,36.4014559498955,958,289,All
2018,Jisr Ash Shugur,35.8257061708861,36.2752753164556,632,269,All
2018,Al Mara,35.5433851063829,36.7303605263157,1786,1102,All
2018,Azaz,36.5138268115942,37.1027144927537,276,262,All
2018,Idleb,35.8793846072186,36.7782233545651,942,1639,All
2018,Al Bab,36.3964601449276,37.5375884057971,138,114,All
2018,As Salamiyeh,35.0697753554503,37.076118957346,211,160,All
2018,Al Hasakeh,36.2301484149857,40.8257446685879,347,800,All
2018,Muhradah,35.342433573718,36.5921720352562,1248,261,All
2018,Hama,35.2501765432096,36.7728931412894,729,904,All
2018,Abu Kamal,34.5767416216216,40.8714266409265,1295,5591,All
2018,Deir ez Zor,35.3161256410255,40.2735754985754,351,936,All
2018,Duma,33.5038531602708,36.5354461625283,886,3761,All
2018,Al Mayadin,34.9560275862069,40.5605118226601,203,772,All
2018,Rural Damascus,33.5153940624999,36.3667703125,640,2319,All
2018,Jarablus,36.7811366666666,37.9794883333333,60,65,All
2018,Tell Abiad,36.6067037037037,38.9533648148148,54,55,All
2018,Ar Raqqa,35.9451325581395,39.0433755813954,172,238,All
2018,Menbij,36.5186636363636,37.9369484848485,66,70,All
2018,Harim,36.1903143396226,36.6572252830189,265,393,All
2018,Ras Al Ain,36.8314852459017,40.0788459016393,61,67,All
2018,Quamishli,37.0069053571428,41.2433589285715,56,63,All
2018,Lattakia,35.7404541353383,35.9491090225564,133,186,All
2018,Damascus,33.5065999999999,36.2968413043478,460,1324,All
2018,Afrin,36.5503786317569,36.7965054054053,1184,2004,All
2018,Ariha,35.7586914728682,36.5439887596899,258,218,All
2018,Dara,32.6764501002004,36.1111120240477,998,1209,All
2018,As Sanamayn,33.0821366863905,36.1057029585799,169,246,All
2018,Quneitra,33.1512763157894,35.8776636842106,190,122,All
2018,Darayya,33.4578979166667,36.2936333333333,48,190,All
2018,As Sweida,32.7180606060606,36.5992181818182,132,470,All
2018,Ain Al Arab,36.856409375,38.2115875,32,15,All
2018,Homs,34.8103571875,36.6825734375,320,260,All
2018,Ath Thawrah,35.858625,38.580515,20,17,All
2018,Tadmor,34.5864255319149,38.6433617021277,47,271,All
2018,Al Qusayr,34.5504857142857,36.5575142857143,7,5,All
2018,Shahba,32.9467236842105,36.5390157894737,38,98,All
2018,Izra,32.8537278443114,36.2099880239521,334,661,All
2018,Salkhad,32.5174666666667,36.5917666666667,6,11,All
2018,Al Malikeyyeh,37.1337466666667,42.2296066666667,15,3,All
2018,Masyaf,35.0485888888889,36.402737037037,27,19,All
2018,Yabroud,33.9683,36.6594,1,0,All
2018,Tall Kalakh,34.70915,36.2682375,8,9,All
2018,Banyas,35.20115,35.9711,4,21,All
2018,Al Qardaha,35.4538,36.0511,4,0,All
